id,Class,Tags,Combined,Archetype,,Level,Class Ability,Description,Img
,Barbarian (UC),"[[""Barbarian (UC)""],[""Elemental Kin""]]",Barbarian (UC) (Elemental Kin),Elemental Kin,<id-00006,3,Elemental Fury,"<p>At 3rd level, whenever the elemental kin takes an amount of energy damage equal to or greater than her barbarian level while raging, she adds 1 to the total number of rounds that she can rage that day. At 6th level, and every three levels thereafter, the number of extra rounds per energy attack increases by +1, to a maximum of +6 rounds per energy attack at at 18th level. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Titan Mauler""]]",Barbarian (UC) (Titan Mauler),Titan Mauler,<id-00008,5,Evade Reach,"<p>At 5th level, as a swift action, a titan mauler may choose one creature within her line of sight. Until the end of her turn, that target's reach is treated as if it were 5 feet shorter with respect to reaching the titan mauler, and this reduction increases by 5 feet for every five levels beyond 5th. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Invulnerable Rager""]]",Barbarian (UC) (Invulnerable Rager),Invulnerable Rager,<id-00006,3,Extreme Endurance,"<p>At 3rd level, the invulnerable rager is inured to either hot or cold climate effects (choose one) as if using endure elements. In addition, the barbarian gains 1 point of fire or cold resistance for every three levels beyond 3rd. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Sea Reaver""]]",Barbarian (UC) (Sea Reaver),Sea Reaver,<id-00004,2,Eyes of the Storm,"<p>At 2nd level, a sea reaver ignores any concealment provided by fog, rain, sleet, mist, wind, or other weather effects that is less than total concealment, and any penalties weather applies on Perception checks are halved. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Mounted Fury""]]",Barbarian (UC) (Mounted Fury),Mounted Fury,<id-00002,1,Fast Rider,<p>The speed of any mount the barbarian rides is increased by 10 feet. This ability replaces fast movement.</p>,icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""True Primitive""]]",Barbarian (UC) (True Primitive),True Primitive,<id-00002,1,Favored Terrain,"<p>A true primitive has a favored terrain representing her native homeland. This ability functions as the ranger class feature, and the true primitive's bonuses in that terrain improve by +2 at 5th level and every five levels thereafter. However, she does not gain any additional favored terrains. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Raging Cannibal""]]",Barbarian (UC) (Raging Cannibal),Raging Cannibal,<id-00008,5,Feed from Fury,"<p>At 5th level, a raging cannibal is empowered by eating her enemies during combat. When a raging cannibal confirms a critical hit against a creature of the same creature type as herself with her bite attack while raging, she gains a number of temporary hit points equal to her barbarian level. These temporary hit points stack with other temporary hit points gained from this ability but not with those from other sources. These temporary hit points fade after a period of time equal to 10 minutes per barbarian level.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Untamed Rager""]]",Barbarian (UC) (Untamed Rager),Untamed Rager,<id-00006,3,Feral Appearance,"<p>At 3rd level, the untamed rager gains a +1 bonus on Intimidate checks. This bonus increases by 1 every 3 barbarian levels thereafter. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Breaker""]]",Barbarian (UC) (Breaker),Breaker,<id-00007,4,Feral Transformation,"<p>At 4th level, when entering a rage, a beastkin berserker can take the form of a Small or Medium animal. This functions as beast shape I, except the duration is for as long as the beastkin berserker rages and the animal must be one she has chosen with her savage rapport.</p><p>At 8th level, the beastkin berserker can use feral transformation to take the form of a Large or Tiny animal that she has chosen with her savage rapport. Feral transformation now acts as beast shape II.</p><p>At 12th level, a beastkin berserker is able to use feral transformation to take the form of a Huge or Diminutive animal that she has chosen with her savage rapport. Feral transformation now functions as beast shape III.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Mad Dog""]]",Barbarian (UC) (Mad Dog),Mad Dog,<id-00008,5,Ferocious Fetch,"<p>At 5th level, a mad dog's war beast gains Improved Drag as a bonus feat. As a swift action, a mad dog can command her war beast to move toward an opponent within 30 feet and attempt a drag combat maneuver to pull the target back toward the mad dog. The war beast can move before and after performing the maneuver, but this movement counts toward the war beast's total movement during its turn. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Shoanti Burn Rider""]]",Barbarian (UC) (Shoanti Burn Rider),Shoanti Burn Rider,<id-00002,1,Flame Runner,"<p>At 1st level, once per rage, a burn rider can goad her mount into a burst of incredible speed. The mount's speed increases by 10 feet until the end of the burn rider's turn. This bonus to speed increases by 10 feet at 9th level and again at 15th level. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Giant Stalker""]]",Barbarian (UC) (Giant Stalker),Giant Stalker,<id-00006,3,Giant Baiter,"<p>At 3rd level, a raging giant stalker can take a move action to erupt into a violent or vulgar display directed at a single giant within 60 feet. This display is infused with secret magical traditions that draw upon the Mammoth Lords' ancestral enmities toward giants. A targeted giant must succeed at a Will save (DC = 10 + half the giant stalker's barbarian level + the giant stalker's Constitution modifier) or be compelled to focus its attacks on the giant stalker; this ability can also affect non-giant creatures that are Large or larger, though such creatures gain a +4 bonus on the Will save to resist the effect. This compulsion ends if the giant stalker is out of sight or inaccessible to the giant's attacks. While baited, a giant is distracted and enraged by the insults-a giant stalker gains a +1 dodge bonus to her AC against any giant she has successfully baited. Once baited, a giant remains baited for a number of rounds equal to the giant stalker's Constitution modifier, or until the giant stalker's rage ends (whichever comes first). If the giant stalker baits a different giant, any previously baited giant is no longer baited. A giant that successfully saves against baiting is immune to that giant stalker's giant baiter ability for 24 hours. This is a language-dependent mind affecting effect.</p><p>At 6th level, a giant stalker can bait two giants at once, and her AC bonus against baited giants increases to +2. At 9th level, baiting giants becomes a swift action, and her AC bonus against baited giants increases to +3. At 12th level, she can bait up to three giants at once, and her AC bonus against baited giants increases to +4. At 15th level, baiting giants becomes a free action, and her AC bonus against baited giants increases to +5. At 18th level, a giant stalker can bait a number of giants equal to 3 + her Constitution modifier, and her AC bonus against baited giants increases to +6.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Giant Stalker""]]",Barbarian (UC) (Giant Stalker),Giant Stalker,<id-00032,1,Giant Stalker Rage Powers,"<p>A giant stalker gains access to the following rage powers.</p><p>Giant Stalker Defense (Ex): When raging, a giant stalker does not take a penalty to Armor Class against attacks from giants.</p><p>Topple Giant (Ex): When raging, the giant stalker does not provoke attacks of opportunity when she attempts to trip a giant, and can attempt to trip a giant that is up to two size categories larger than she is.</p><p>Underfoot (Ex): When raging, the giant stalker can attempt to enter a giant's space, provided she is at least one size category smaller than the giant. This does not provoke an attack of opportunity. Doing so takes a move action and requires a successful combat maneuver check against the giant's CMD. If she succeeds, she enters a square in the giant's space. If she makes an attack against the giant while sharing its space, the giant is treated as being flat-footed against her. At the end of her turn, she exits the giant's space into any square adjacent to the giant's space.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Shoanti Burn Rider""]]",Barbarian (UC) (Shoanti Burn Rider),Shoanti Burn Rider,<id-00008,5,Give Me Fire,"<p>At 5th level, if a Shoanti burn rider takes fire damage while raging, she regains 1 round of rage. The burn rider regains the round of rage only if the fire damage bypasses or exceeds any energy resistance or other protections in effect. The burn rider can only regain 1 round of rage per round. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Feral Gnasher""]]",Barbarian (UC) (Feral Gnasher),Feral Gnasher,<id-00013,9,Greater Lockjaw,"<p>At 9th level and again at 15th level, the size of a creature a feral gnasher is able to use her lockjaw's grab ability on increases by one size increment. This ability replaces trap sense +3 and trap sense +5.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Giant Stalker""]]",Barbarian (UC) (Giant Stalker),Giant Stalker,<id-00031,1,Harangue Giant,"<p>While raging, a giant stalker can speak Giant. If the giant stalker already knows Giant, she gains a +2 bonus on Intimidate checks when speaking Giant while raging.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Numerian Liberator""]]",Barbarian (UC) (Numerian Liberator),Numerian Liberator,<id-00004,2,Hard Hitter,"<p>At 2nd level, a Numerian liberator can make devastating attacks against objects and foes with breakable components. Damage dealt by the barbarian's attacks ignores an amount of an object's or creature's hardness (if any) equal to 1/2 her class level. This ability replaces the uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Numerian Liberator""]]",Barbarian (UC) (Numerian Liberator),Numerian Liberator,<id-00020,14,Hide from Constructs,"<p>At 14th level, a Numerian liberator can control her movement, breathing, body temperature, and other physiological signs to confuse the artificial visions of constructs. At will, the barbarian can make herself undetectable to constructs as if she were affected by a hide from undead spell that instead hides the subject from constructs. Intelligent constructs receive a Will save (DC 10 + 1/2 the barbarian's level + the barbarian's Constitution modifier) to see through this effect. The barbarian must expend 1 round of rage for each round she uses this ability. This ability replaces indomitable will.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Brutish Swamper""]]",Barbarian (UC) (Brutish Swamper),Brutish Swamper,<id-00004,2,Home,"<p>At 2nd level, a brutish swamper gains a +2 bonus on initiative checks and Knowledge (geography), Perception, Stealth, and Survival checks when in swamps. This bonus increases by +1 at 5th level and again every 3 levels after 5th (up to a maximum bonus of +8 at 20th level).</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Jungle Rager""]]",Barbarian (UC) (Jungle Rager),Jungle Rager,<id-00004,2,Home Ground Advantage,"<p>At 2nd level, a jungle rager learns how to make optimal use of the natural cover of her homeland. She chooses a specific terrain type from the ranger list of favored terrains. When in this terrain, she increases her bonus to AC and on Reflex saving throws gained from cover, partial cover, and improved cover (but not soft cover) by 1. In this terrain, she also increases the miss chance caused by concealment for attacks against her by 5%. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Jungle Rager""]]",Barbarian (UC) (Jungle Rager),Jungle Rager,<id-00008,5,Home Ground Supremacy,"<p>At 5th level, a jungle rager becomes even more capable when navigating and fighting in her preferred terrain. She gains the woodland stride ranger ability, though this ability works only in the terrain she selected for the home ground advantage ability. In this terrain, she gains an additional +1 bonus to AC when benefiting from cover or improved cover (but not soft cover). This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""True Primitive""]]",Barbarian (UC) (True Primitive),True Primitive,<id-00031,1,Illiteracy,"<p>A true primitive cannot read or write, and her superstition about such things leads her to refuse to ever learn to read or write, even if she multiclasses into other classes.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Wildborn""]]",Barbarian (UC) (Wildborn),Wildborn,<id-00031,1,Illiteracy,"<p>A wildborn cannot read or write. She can learn to read or write a language only if she takes a level in another class, and even then only by taking 1 or more ranks in Linguistics.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Feral Gnasher""]]",Barbarian (UC) (Feral Gnasher),Feral Gnasher,<id-00004,2,Impromptu Armament,"<p>At 2nd level, a feral gnasher gains Throw Anything as a bonus feat and can pick up an unattended object that can be wielded in one hand as a free action. Additionally, the feral gnasher can take Catch Off-Guard in place of a rage power. This replaces the rage power gained at second level.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Armored Hulk""]]",Barbarian (UC) (Armored Hulk),Armored Hulk,<id-00008,5,Improved Armored Swiftness,"<p>At 5th level, an armored hulk's land speed is faster than the norm for her race by +10 feet. This benefit applies when she is wearing any armor, including heavy armor, but not while carrying a heavy load. Apply this bonus before modifying the armored hulk's speed because of any load carried or armor worn. This bonus stacks with any other bonuses to the barbarian's land speed. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Feral Gnasher""]]",Barbarian (UC) (Feral Gnasher),Feral Gnasher,<id-00009,6,Improved Lockjaw,"<p>At 6th level, as long as a feral gnasher is controlling the grapple with her lockjaw attack, she does not gain the grappled condition, but is unable to move or use her mouth for anything other than grappling. This ability replaces trap sense +2.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Drunken Rager""]]",Barbarian (UC) (Drunken Rager),Drunken Rager,<id-00008,5,Improved Staggering Evasion,"<p>At 5th level, as long as she has at least 2 drunken rage points, a drunken rager gains improved evasion, as the rogue advanced talent of the same name. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Scarred Rager""]]",Barbarian (UC) (Scarred Rager),Scarred Rager,<id-00008,5,Improved Tolerance,"<p>At 5th level, a scarred rager's tolerance ability also applies to effects that would cause her to become dazed, frightened, shaken, or stunned. This replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Feral Gnasher""]]",Barbarian (UC) (Feral Gnasher),Feral Gnasher,<id-00008,5,Improvised Weapon Mastery,"<p>At 5th level, a feral gnasher gains Improvised Weapon Mastery as a bonus feat. This replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Pack Hunter""]]",Barbarian (UC) (Pack Hunter),Pack Hunter,<id-00006,3,In and Out,"<p>At 3rd level, a pack hunter gains a +1 dodge bonus to AC against attacks of opportunity. This bonus increases by 1 for every 3 barbarian levels after 3rd (to a maximum bonus of +6 at 18th level).</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Armored Hulk""]]",Barbarian (UC) (Armored Hulk),Armored Hulk,<id-00002,1,Indomitable Stance,"<p>An armored hulk gains a +1 bonus on combat maneuver checks and to CMD for overrun combat maneuvers, and on Reflex saves against trample attacks. She also gains a +1 bonus to her AC against charge attacks and on attack and damage rolls against charging creatures. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Wildborn""]]",Barbarian (UC) (Wildborn),Wildborn,<id-00033,7,Inexhaustible,"<p>Wildborn live ruggedly and sleep lightly. At 7th level, a wildborn recovers nonlethal damage for each minute of rest as if an hour had passed. She applies twice her damage reduction gained from barbarian levels against nonlethal damage.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Raging Cannibal""]]",Barbarian (UC) (Raging Cannibal),Raging Cannibal,<id-00006,3,Intimidating Gouge,"<p>At 3rd level, when a raging cannibal confirms a critical hit against a creature of the same creature type as herself with her bite attack while raging, she gains a bonus on Intimidate checks equal to half her barbarian level for the duration of the rage.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Fearsome Defender""]]",Barbarian (UC) (Fearsome Defender),Fearsome Defender,<id-00002,1,Intractable,"<p>A combination of brainwashing and loyalty helps a fearsome defender resist pain and torture, enduring grueling combat or questioning without betraying her dark lord. A fearsome defender gains a +2 bonus on saving throws against painUM effects, and the DCs of checks to coerce her or demoralize her with Diplomacy or Intimidate increase by 2. Both the bonus and the increase to DCs increase by 2 when she gains greater rage and again by 2 when she gains mighty rage.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Invulnerable Rager""]]",Barbarian (UC) (Invulnerable Rager),Invulnerable Rager,<id-00004,2,Invulnerability,"<p>At 2nd level, the invulnerable rager gains DR/- equal to half her barbarian level. This damage reduction is doubled against nonlethal damage. This ability replaces uncanny dodge, improved uncanny dodge, and damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Titan Mauler""]]",Barbarian (UC) (Titan Mauler),Titan Mauler,<id-00004,2,Jotungrip,"<p>At 2nd level, a titan mauler may choose to wield a two-handed melee weapon in one hand with a -2 penalty on attack rolls while doing so. The weapon must be appropriately sized for her, and it is treated as one-handed when determining the effect of Power Attack, Strength bonus to damage, and the like. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Jungle Rager""]]",Barbarian (UC) (Jungle Rager),Jungle Rager,<id-00006,3,Jungle Endurance,"<p>At 3rd level, a jungle rager gains a +1 bonus on Fortitude saves to resist the effects of hot weather and diseases. This bonus increases by +1 every 3 barbarian levels after 3rd. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Superstitious""]]",Barbarian (UC) (Superstitious),Superstitious,<id-00012,7,Keen Senses,"<p>At 7th level, the superstitious barbarian gains low-light vision (triple normal vision range in dim light if she already has low-light vision). At 10th level, she gains darkvision 60 feet (or adds 60 feet to the range of any darkvision already possessed). At 13th level, she gains scent. At 16th level, she gains blindsense 30 feet. At 19th level, she gains blindsight 30 feet. This ability replaces damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Wildborn""]]",Barbarian (UC) (Wildborn),Wildborn,<id-00006,3,Live Off the Land,"<p>At 3rd level, a wildborn can survive capably in the wilderness without any sort of manufactured equipment or gear. She adds half her barbarian level as a bonus on Survival checks to hunt or gather food and gains a +1 bonus on Fortitude saves to resist the effects of extreme temperatures or other environmental effects; the Fortitude save bonus increases by 1 at 6th level and every 3 levels thereafter.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
