Class,Tags,Combined,Archetype,id,Level,Class Ability,Description,Img
Summoner,"[[""Summoner""],[""Pyroclast""]]",Summoner (Pyroclast),Pyroclast,<id-00003,1,Chaos Magic,"<p>A morphic savant gains the following bonus spells known at the listed spell level: 1st-protection from law, 2nd-shard of chaosUM, 3rd-magic circle against law, 4th-chaos hammer, 5th-dispel law, 6th-word of chaos. The morphic savant gains one fewer spell known per spell level for spell levels 1-6. This ability alters the summoner's spells known.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""God Caller""]]",Summoner (God Caller),God Caller,<summoneraspect_10,10,Divine Awareness,"<p>At 10th level, after 10 minutes of concentration, a god caller's eidolon can see from afar as per clairaudience/clairvoyance. The eidolon can do this once per day at 10th level, and an additional time per day every 4 summoner levels thereafter (maximum of 3 times per day at 18th level).</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""God Caller""]]",Summoner (God Caller),God Caller,<summonergreateraspect_18,18,Divine Might,"<p>At 18th level, a god caller's eidolon's attacks are treated as epic for the purpose of overcoming damage reduction and harming mythic creatures.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""God Caller""]]",Summoner (God Caller),God Caller,<summonertransposition_8,8,Divine Word,"<p>At 8th level, if a god caller's eidolon would grant him a bonus with the aid another action on a Diplomacy or Intimidate check, the god caller can instead choose to roll twice and take the better result. He makes the choice before rolling. Once per day while his eidolon uses the aid another action to assist him in such a check, if the god caller would improve a target's attitude toward him, or gain a success if using the individual influence rules (Ultimate Intrigue 102), he instead improves that target's attitude by 2 steps or it counts as 2 successes.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""First Worlder""]]",Summoner (First Worlder),First Worlder,<summonereidolon_1,1,Eidolon,"<p>A summoner begins play with the ability to summon to his side a powerful outsider called an eidolon. The eidolon forms a link with the summoner, who, forever after, summons an aspect of the same creature. An eidolon has the same alignment as the summoner that calls it and can speak all of his languages. Eidolons are treated as summoned creatures, except that they are not sent back to their home plane until reduced to a number of negative hit points equal to or greater than their Constitution score. In addition, due to its tie to its summoner, an eidolon can touch and attack creatures warded by <i>protection from evil </i>and similar effects that prevent contact with summoned creatures. A summoner can summon his eidolon in a ritual that takes 1 minute to perform. When summoned in this way, the eidolon hit points are unchanged from the last time it was summoned. The only exception to this is if the eidolon was slain, in which case it returns with half its normal hit points. The eidolon does not heal naturally. The eidolon remains until dismissed by the summoner (a standard action). If the eidolon is sent back to its home plane due to death, it cannot be summoned again until the following day. The eidolon cannot be sent back to its home plane by means of <i>dispel magic </i>, but spells such as <i>dismissal </i>and <i>banishment </i>work normally. If the summoner is unconscious, asleep, or killed, his eidolon is immediately banished. The eidolon takes a form shaped by the summoner's desires. The eidolon's Hit Dice, saving throws, skills, feats, and abilities are tied to the summoner's class level and increase as the summoner gains levels. In addition, each eidolon receives a pool of evolution points, based on the summoner's class level, that can be used to give the eidolon different abilities and powers. Whenever the summoner gains a level, he must decide how these points are spent, and they are set until he gains another level of summoner. The eidolon's physical appearance is up to the summoner, but it always appears as some sort of fantastical creature. This control is not fine enough to make the eidolon appear like a specific creature. The eidolon also bears a glowing rune that is identical to a rune that appears on the summoner's forehead as long as the eidolon is summoned. While this rune can be hidden through mundane means, it cannot be concealed through magic that changes appearance, such as <i>alter self </i>or <i>polymorph </i>(although <i>invisibility </i>does conceal it as long as the spell lasts).</p><p>Instead of an outsider, a first worlder's eidolon has the fey creature type and the extraplanar subtype. Its statistics are changed from a standard eidolon as follows:</p><p>Hit Dice: d6 Hit Die (instead of d10).</p><p>BAB: Equal to 1/2 the eidolon's Hit Dice.</p><p>Good/Bad Saves: The eidolon's good saves area always Reflex and Will.</p><p>Skills: The eidolon's class skills are Acrobatics, Bluff, Climb, Craft, Diplomacy, Disguise, Escape Artist, Fly, Knowledge (geography), Knowledge (nature), Perception, Perform, Sense Motive, Sleight of Hand, Stealth, Swim, and Use Magic Device.</p><p>Senses: The eidolon gains low-light vision instead of darkvision. The summoner can grant the eidolon darkvision 60 ft. as a 1-point evolution.</p><p>Damage Reduction: If the first worlder chooses this evolution, he may select DR/cold iron instead of one of the alignment-based types of damage reduction.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Evolutionist""]]",Summoner (Evolutionist),Evolutionist,<id-00001>,2,Eidolon Brood,"<p>At 2nd level, instead of a single eidolon, a broodmaster summons two Small eidolons to his side, each less powerful than the single eidolon of a standard summoner. Each eidolon has it own base form and associated base statistics and free evolutions. Regardless of the number of eidolons in the brood, each eidolon has the same base attack bonus and base saving throw bonuses, but the rest of the eidolons’ base statistics must be divided between the eidolons, including Hit Dice (minimum 1), skill points, number of feats, armor bonus, Str/Dex bonus, evolution pool (but see below), and maximum number of natural attacks. Individual eidolons in the brood must purchase evolutions separately. Once a broodmaster decides on the forms and abilities of his eidolons, they cannot be changed until the summoner gains a level. Example: A 2nd-level broodmaster can summon two eidolons. Each eidolon has 1 Hit Dice, BAB +2, +3 on its two good saves and +0 on its bad save. The broodmaster decides to give the first eidolon 4 skill points, one feat, a +1 armor bonus, a +1 bonus to Strength, 2 points from the evolution pool, and a maximum of two attacks. The remaining 4 skill points, +1 armor bonus, +1 bonus to Dexterity, and 2 points from the evolution pool go to the second eidolon, but it gains no feats and can have only one natural attack.</p><p>The broodmaster must dismiss all of his eidolons at one time. Likewise, all of the eidolons in a brood are banished if the broodmaster is unconscious, asleep, or killed. However, each eidolon in the brood is sent back to its home plane individually when its hit points are reduced to a negative number equal to or greater than its Constitution score.</p><p>This ability replaces the summoner’s normal eidolon ability.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Pyroclast""]]",Summoner (Pyroclast),Pyroclast,<id-00001,1,Eidolon of Chaos,"<p>A morphic savant's eidolon must be of a chaotic alignment (if using the summoner from Pathfinder Unchained, the eidolon must have the azata, demon, or protean subtype). The morphic savant's eidolon has three base forms: biped, quadruped, and serpentine. Each form has the same feats and skills, but has its own set of evolutions. When the summoner meditates and regains his spell slots for the day, he can select any of the three base forms of his eidolon. The eidolon has 1 fewer evolution point than normal for an eidolon of the morphic savant's summoner level, and has 1 fewer skill point per Hit Die. This ability alters eidolon.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Wild Caller ""]]",Summoner (Wild Caller ),Wild Caller ,<id-00003,1,Eidolon of Law,"<p>An unwavering conduit's eidolon must be of a lawful alignment (if using the summoner from Pathfinder Unchained, the eidolon must be of the archon, devil, or inevitable subtype). Once selected, the evolutions of the unwavering conduit's eidolon cannot be changed when a new class level is gained (though they can be altered normally with the transmogrify spell; see Pathfinder RPG Advanced Player's Guide 250). At least half the eidolon's skill points must be spent on skills in which the unwavering conduit also has ranks. The eidolon gains a +1 resistance bonus on saving throws against spells and abilities of the conjuration, enchantment, and transmutation schools. This bonus increases to +2 at 3rd level, and by an additional 1 for every 3 levels thereafter. The eidolon has 1 fewer evolution point than normal for an eidolon of the unwavering conduit's summoner level. This ability alters eidolon.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Storm Caller""]]",Summoner (Storm Caller),Storm Caller,<summonershieldally_4,4,Electrical Polarity,"<p>At 4th level, a storm caller and his eidolon can temporarily form an electrical current between them. The storm caller can expend a use of his summon storm's fury ability as a standard action to create an instantaneous line of lightning between him and his eidolon, provided that the eidolon is within 60 feet of him. The lightning arc deals the same amount of damage to all creatures in the line and has the same save DC as a bolt of lightning from the summon storm's fury ability (unlike call lightning, this damage is dealt only once). The storm caller and his eidolon are not affected by this lightning.</p><p>At 12th level, the storm caller gains the benefit of his eidolon's resistance (electricity) or immunity (electricity) evolution whenever he is within 30 feet of the eidolon.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Twinned Summoner""]]",Summoner (Twinned Summoner),Twinned Summoner,<summonertransposition_8,8,Evolve Base Form,"<p>Starting at 8th level, whenever he gains a level, the story summoner can change his eidolon's base form to a new base form. Once chosen, this base form is set until the story summoner gains another summoner level. This ability replaces transposition.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""First Worlder""]]",Summoner (First Worlder),First Worlder,<id-00001,3,Fey Summons,"<p>At 3rd level, a first worlder adds the following creatures to the lists of what he can summon with his summon nature's ally spell-like ability:</p><p>Summon nature's ally II: gremlin ( jinkin, pugwampi, or vexgit, see Bestiary 2).</p><p>Summon nature's ally III: gremlin (nuglub, see Bestiary 2).</p><p>Summon nature's ally IV: unicorn.</p><p>Summon nature's ally V: pixie, satyr.</p><p>Summon nature's ally VII: nymph.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Blood Summoner""]]",Summoner (Blood Summoner),Blood Summoner,<summonergreatershieldally_12,10,Fiendish Calling,"<p>At 10th level, the blood summoner's summon monster ability can additionally be used as lesser planar binding as a standard action, but only to call evil outsiders. At 13th level, he can instead use it as planar binding. At 16th level, he can instead use it as greater planar binding. This ability replaces greater shield ally.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Evolutionist""]]",Summoner (Evolutionist),Evolutionist,<summonergreatershieldally_12,12,Greater shield ally,"<p>At 12th level, whenever an ally is within an eidolon's reach, the ally receives a +2 shield bonus to its Armor Class and a +2 circumstance bonus on its saving throws. If this ally is the summoner, these bonuses increase to +4. This bonus does not apply if the eidolon is grappled, helpless, paralyzed, stunned, or unconscious.</p><p>The broodmaster or an ally can only gain the bonuses from these abilities once, regardless of how many eidolons in the brood are within reach.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""God Caller""]]",Summoner (God Caller),God Caller,<id-00001,1,Guidance,"<p>A god caller's eidolon has a tiny spark of divinity. It can use guidance as a spell-like ability at will. However, the eidolon and the god caller must remain within 50 feet of one another for the eidolon to remain at full strength. If the eidolon is beyond 50 feet but closer than 1,000 feet, its current and maximum hit point totals are reduced by half.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Evolutionist""]]",Summoner (Evolutionist),Evolutionist,<id-00003,8,Larger Brood,"<p>At 8th level, the broodmaster can spend 4 evolution points from the evolution pool for the large evolution; unlike with other evolutions, he spends these 4 points before he assigns evolution points to his individual eidolons (for an 8th-level broodmaster with 11 evolution points, this leaves 7 evolution points to distribute among the eidolons). This allows him to summon two Medium eidolons, four Small eidolons, or one Medium eidolon and two Small eidolons.</p><p>At 13th level, if the broodmaster has purchased the large evolution for his brood, he can spend an additional 6 evolution points from the evolution pool for the huge evolution, distributing the remaining points among his eidolons. This allows him to call two Large eidolons, four Medium eidolons, eight Small eidolons, or any similar combination in which two smaller eidolons count as one eidolon of one size larger.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Wild Caller ""]]",Summoner (Wild Caller ),Wild Caller ,<id-00001,1,Law Magic,"<p>The unwavering conduit gains the following bonus spells known at the listed spell level: 1st-protection from chaos, 2nd-arrow of lawUM, 3rd-magic circle against chaos, 4th-order's wrath, 5th-dispel chaos, 6th-dictum. The unwavering conduit gains one fewer spell known per spell level for spell levels 1-6. This ability alters the summoner's spells known.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Leshy Caller""]]",Summoner (Leshy Caller),Leshy Caller,<id-00002,0,Leshy Eidolon,"<p>When a leshy caller summons her eidolon, the eidolon's body is created from extraplanar plant material and imbued with the intelligence of a leshy spirit. Its statistics are changed from those of a standard eidolon as follows. An unchained summoner uses the plant eidolon subtype instead of one of the subtypes listed in Pathfinder RPG Pathfinder Unchained.</p><p><i>Type: </i>The eidolon is still an outsider, and its statistics don't change, but it also counts as a plant. As it isn't truly a plant, it doesn't gain the plant immunities.</p><p><i>Base Form: </i>The leshy caller chooses one of the base forms listed below for her eidolon. When the eidolon is summoned in an environment matching one of these base forms, the leshy caller can change the eidolon's base form to the matching form by sacrificing one daily use of her summon nature's ally ability as a free action.</p><p>Plant eidolon base forms are as follows.</p><p><i>Cactus (Desert): </i>Size Medium; Speed 30 ft.; AC +2 natural armor; Saves Fort (good), Ref (good), Will (bad); Attack sting (1d4); Ability Scores Str 14, Dex 14, Con 13, Int 7, Wis 10, Cha 11; Free Evolutions limbs (arms), limbs (legs), sting.</p><p><i>Conifer (Forest, Mountain): </i>Size Medium; Speed 30 ft.; AC +2 natural armor; Saves Fort (good), Ref (bad), Will (good); Attack 2 claws (1d4); Ability Scores Str 14, Dex 12, Con 15, Int 7, Wis 10, Cha 11; Free Evolutions claws, limbs (arms), limbs (legs).</p><p><i>Fungus (Swamp, Underground): </i>Size Medium; Speed 30 ft.; AC +2 natural armor; Saves Fort (good), Ref (good), Will (bad); Attack bite (1d6); Ability Scores Str 14, Dex 14, Con 13, Int 7, Wis 10, Cha 11; Free Evolutions bite, limbs (arms), limbs (legs).</p><p><i>Leaf (Forest, Jungle, Swamp): </i>Size Medium; Speed 30 ft.; AC +2 natural armor; Saves Fort (good), Ref (good), Will (bad); Attack slam (1d8); Ability Scores Str 16, Dex 12, Con 13, Int 7, Wis 10, Cha 11; Free Evolutions limbs (arms), limbs (legs), slam.</p><p><i>Seaweed (Aquatic): </i>Size Medium; Speed 20 ft., swim 40 ft.; AC +2 natural armor; Saves Fort (good), Ref (good), Will (bad); Attack slam (1d8); Ability Scores Str 12, Dex 14, Con 15, Int 7, Wis 10, Cha 11; Free Evolutions limbs (arms), slam, swim (2).</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Master Summoner""]]",Summoner (Master Summoner),Master Summoner,<id-00001,1,Lesser Eidolon,"<p>A master summoner's class level is halved (minimum 1) for the purposes of determining his eidolon's abilities, Hit Dice, evolution pool, and so on. The eidolon otherwise functions as normal. This ability replaces the summoner's normal eidolon ability.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Evolutionist""]]",Summoner (Evolutionist),Evolutionist,<summonermakerscall_6,6,Maker's call,"<p>At 6th level, as a standard action, a summoner can call his eidolon to his side. This functions as <i>dimension door </i>, using the summoner's caster level. When used, the eidolon appears adjacent to the summoner (or as close as possible if all adjacent spaces are occupied). If the eidolon is out of range, the ability is wasted. The summoner can use this ability once per day at 6th level, plus one additional time per day for every four levels beyond 6th.</p><p>The broodmaster can only call one eidolon in the brood to his side with each use of this ability.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Evolutionist""]]",Summoner (Evolutionist),Evolutionist,<summonermergeforms_16,16,Merge forms,"<p>At 16th level, as a full-round action, a summoner can touch his eidolon and the two can merge forms. This transformation includes all of the summoner's gear. While merged in this way, the summoner is protected from harm and cannot be the target of spells or effects. All effects and spells currently targeting the summoner are suspended until the summoner emerges from the eidolon (although durations continue to expire). The summoner can cast spells while inside the eidolon by taking control of the eidolon for the duration of the casting. Any material components used for these spells are taken from the summoner's gear, even though they are otherwise inaccessible. The summoner can direct all of the eidolon's actions while merged, can perceive through its senses, and can speak through its voice. The summoner can use this ability for a number of rounds per day equal to his summoner level. He can end this effect at any time as a swift action. The summoner emerges in a square adjacent to the eidolon if able. If the eidolon is returned to its home plane while the summoner is merged with it, the summoner is immediately ejected, taking 4d6 points of damage, and is stunned for 1 round.</p><p>The broodmaster can only merge with one eidolon in the brood at a time. This ability otherwise works like and replaces merge forms.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Pyroclast""]]",Summoner (Pyroclast),Pyroclast,<id-00002,1,Morphic Monsters,"<p>Since a morphic savant's power is drawn from planar energies aligned with chaos, all the creatures he summons must be of a chaotic alignment. If a creature would normally be celestial or fiendish, it is instead an entropic creature (Pathfinder RPG Bestiary 2 292).</p><p>This also causes the morphic savant's summoning power to be less reliable than a standard summoner's. Each time he uses his summon monster spell-like ability to summon multiple creatures, there is a 50% chance he summons one more monster than normal for the summon monster spell he uses, in which case the creatures remain for only 1 round per level (instead of 1 minute per level).</p><p>Also, starting at 2nd level, the morphic savant can grant one 1-point evolution to all the creatures he summons with his summon monster spell-like ability. He can't grant an evolution that duplicates the function of, or has the same name as, any ability the summoned creatures already possess (for example, he can't grant a creature with a bite attack another bite attack), nor can he add an evolution that causes the summoned monsters to have more attacks than his eidolon's maximum number of attacks. The creatures do not have to be of the correct subtype to gain an evolution, but do have to meet any other prerequisites.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""God Caller""]]",Summoner (God Caller),God Caller,<summonertwineidolon_20,20,Overwhelming Presence,"<p>At 20th level, a god caller's eidolon can use overwhelming presence (Pathfinder RPG Ultimate Magic 230) three times per day. The save DC is equal to 19 + the eidolon's Charisma modifier.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Blood God Disciple""]]",Summoner (Blood God Disciple),Blood God Disciple,<summonersummonmonsteri_11,11,Rage Power,"<p>At 11th level and 15th level, a blood god disciple selects a barbarian rage power, which he may use when raging (whether from the avatar gambit ability or actual barbarian rage). This replaces the summon monster VI and VIII spell-like abilities.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Spirit Summoner""]]",Summoner (Spirit Summoner),Spirit Summoner,<id-00002,1,Shadow Eidolon,"<p>A shadow caller's eidolon is at once a thing of shadow called from the deep of the Shadow Plane and his own shadow; the two are inseparable. When his eidolon manifests, his shadow lengthens and finally detaches from him as a creature unto itself. For as long as the shadow caller's eidolon is manifested, he and the eidolon do not have distinct shadows, regardless of the presence or absence of light. This lack of a shadow replaces the magical symbol that identifies the summoner and his eidolon.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Spirit Summoner""]]",Summoner (Spirit Summoner),Spirit Summoner,<id-00001,1,Shadow Summoning,"<p>When a shadow caller uses his summon monster ability or casts the summon monster spell, he typically summons creatures from the Shadow Plane or creatures closely associated with shadow. When a creature on the summon monster spell list indicates that it is summoned with either the celestial or the fiendish template based on the alignment of the caster, the creature summoned by the shadow caller has the shadow creature template instead . Furthermore, the summon monster lists are modified in the following ways (these changes also apply to using a higher-level summon spell to summon multiple creatures from a lower-level list).</p><p><i>Summon Monster I: </i>No changes.</p><p><i>Summon Monster II: </i>A shadow caller cannot summon Small elementals or lemures, but instead can summon zoogs.</p><p><i>Summon Monster III: </i>A shadow caller cannot summon dretches or lantern archons, but can summon augur kytons.</p><p><i>Summon Monster IV: </i>A shadow caller cannot summon Medium elementals, hell hounds, hound archons, or mephits, but can summon allips , gloomwings , and shadows.</p><p><i>Summon Monster V: </i>A shadow caller cannot summon babau, bearded devils, bralani azatas, Large elementals, salamanders, or xills, but can summon shadow mastiffs and shae.</p><p><i>Summon Monster VI: </i>A shadow caller cannot summon Huge elementals, erinyes, lillend azatas, or succubi, but can summon cloakers.</p><p><i>Summon Monster VII: </i>A shadow caller cannot summon bebiliths, bone devils, greater elementals, or vrocks, but can summon greater shadows.</p><p>Summon Monster VIII: A shadow caller can only summon derghodaemons and young umbral dragons.</p><p>Summon Monster IX: A shadow caller can only summon interlocutor kytons and nightwings.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Evolutionist""]]",Summoner (Evolutionist),Evolutionist,<summonershieldally_4,4,Shield ally,"<p>At 4th level, whenever a summoner is within his eidolon's reach, the summoner receives a +2 shield bonus to his Armor Class and a +2 circumstance bonus on his saving throws. This bonus does not apply if the eidolon is grappled, helpless, paralyzed, stunned, or unconscious.</p><p>The broodmaster or an ally can only gain the bonuses from these abilities once, regardless of how many eidolons in the brood are within reach.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Storm Caller""]]",Summoner (Storm Caller),Storm Caller,<summonermakerscall_6,6,Storm's Wings,"<p>At 6th level, a storm caller can borrow some of his eidolon's elemental might. He can gain the flight evolution (Pathfinder Unchained 37) as though he were using the summoner's aspect ability, deducting 2 evolution points from the eidolon's evolution pool. If he does so, his eidolon is unable to take the flight evolution as long as the storm caller has that evolution.</p><p>At 8th level, the storm caller's eidolon can have the flight evolution even if the storm caller has that evolution.</p>",systems/pf1/icons/skills/green_21.jpg
Summoner,"[[""Summoner""],[""Storm Caller""]]",Summoner (Storm Caller),Storm Caller,<id-00001,1,Stormy Eidolon,"<p>A storm caller must select the resistance (electricity) or immunity (electricity) evolution for his eidolon. If the eidolon has neither of these evolutions, it becomes nauseated until it regains one of them.</p>",systems/pf1/icons/skills/green_21.jpg
