Class,Tags,Combined,Archetype,id,Level,Class Ability,Description,Img
Barbarian,"[[""Barbarian""],[""Deepwater Rager""]]",Barbarian (Deepwater Rager),Deepwater Rager,<barbarianimproveduncannydodge_5,5,Disorienting Grapple (Ex),"<p>At 5th level, a deepwater rager becomes an expert in flipping and spinning opponents as they are grappled. An opponent grappled by the deepwater rager gains the sickened condition for as long as it has the grappled condition. When the creature&#146;s grappled condition ends, for any reason, it must succeed at an Acrobatics check (with a DC equal to the deepwater rager&#146;s CMD) or fall prone.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Numerian Liberator""]]",Barbarian (Numerian Liberator),Numerian Liberator,<barbarianimproveduncannydodge_5,5,Disruptor,"<p>At 5th level, for any foes in a Numerian liberator&#146;s threatened area, the DC to cast spells defensively increases by 1. The DC increases by 1 again for every 5 levels thereafter (to a maximum increase of 4 at 20th level). If the barbarian gains the disruptive rage power, the two abilities stack. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Drunken Rager""]]",Barbarian (Drunken Rager),Drunken Rager,<barbarianrage_1,1,Drunken Rage (Ex),"<p>At 1st level, a drunken rager can drink a unit of ale or other strong alcohol while raging to gain 1 drunken rage point. The act of drinking is a standard action that does not provoke attacks of opportunity. At 1st level, the barbarian can have a maximum of 1 drunken rage point; this maximum increases by 1 every 2 levels thereafter. These drunken rage points last for 1 hour or until spent, whichever comes first. The barbarian can use drunken rage points only while raging. Unless otherwise noted, spending a drunken rage point is a free action.</p><p>A drunken rager can spend 1 drunken rage point to increase her movement speed by 20 feet for 1 round, provided she is wearing no armor, light armor, or medium armor and is not carrying a heavy load. She can also spend 1 drunken rage point to gain 1 additional round of her rage class feature, which lasts for 1 hour or until used. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Drunken Rager""]]",Barbarian (Drunken Rager),Drunken Rager,<barbarianragepowers_12,12,Drunken Swing (Ex),"<p>At 12th level, a drunken rager can spend 1 drunken rage point as a swift action before making a melee attack to drastically increase the deadliness of her attack. The critical threat range of her next attack that round increases by 1 (for example, a critical threat range of 20 would increase to 19&#150;20). This ability does not stack with any other effect that expands the critical threat range of a weapon. At 16th level and again at 20th level, the barbarian can spend 1 additional drunken rage point to further increase the critical threat range of her next attack (to a maximum critical threat range increase of 3 at 20th level). This ability replaces the rage power gained at 12th level.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Elemental Kin""]]",Barbarian (Elemental Kin),Elemental Kin,<barbariantrapsense_3,3,Elemental Fury,"<p>At 3rd level, whenever the elemental kin takes an amount of energy damage equal to or greater than her barbarian level while raging, she adds 1 to the total number of rounds that she can rage that day. At 6th level, and every three levels thereafter, the number of extra rounds per energy attack increases by +1, to a maximum of +6 rounds per energy attack at at 18th level. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Titan Mauler""]]",Barbarian (Titan Mauler),Titan Mauler,<barbarianimproveduncannydodge_5,5,Evade Reach (Ex),"<p>At 5th level, as a swift action, a titan mauler may choose one creature within her line of sight. Until the end of her turn, that target&#146;s reach is treated as if it were 5 feet shorter with respect to reaching the titan mauler, and this reduction increases by 5 feet for every five levels beyond 5th. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Primal Hunter""]]",Barbarian (Primal Hunter),Primal Hunter,<barbarianfastmovement_1,1,Exceptional Pull,"<p>At 1st level, a primal hunter gains Exceptional Pull as a bonus feat, even if she doesn&#146;t meet the requirements. At 11th and 20th levels, the strength rating of weapons she wields increases by 1 (weapons without a strength rating are not affected). This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Invulnerable Rager""]]",Barbarian (Invulnerable Rager),Invulnerable Rager,<barbariantrapsense_3,3,Extreme Endurance,"<p>At 3rd level, the invulnerable rager is inured to either hot or cold climate effects (choose one) as if using endure elements. In addition, the barbarian gains 1 point of fire or cold resistance for every three levels beyond 3rd. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Sea Reaver""]]",Barbarian (Sea Reaver),Sea Reaver,<barbarianuncannydodge_2,2,Eyes of the Storm,"<p>At 2nd level, a sea reaver ignores any concealment provided by fog, rain, sleet, mist, wind, or other weather effects that is less than total concealment, and any penalties weather applies on Perception checks are halved. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Hateful Rager""]]",Barbarian (Hateful Rager),Hateful Rager,<barbarianragepowers_2,2,Favored Enemy (Ex),"<p>At 2nd level, a hateful rager selects a favored enemy. This ability works identically to the ranger ability of the same name. At 8th, 14th, and 20th level, the hateful rager selects another favored enemy and increases her bonus against one favored enemy type, as described in the ranger class.</p><p>While raging, the hateful rager makes every effort to fight a favored enemy rather than other opponents. If aware of the presence of a favored enemy, the hateful rager must make a DC 20 Will save each round to attack another creature; failure means the barbarian must attack the favored enemy or move closer to that enemy. She may freely attack creatures preventing her from reaching that favored enemy (regardless of whether they are actively trying to prevent her attacks or merely in the way). She can avoid harmful obstacles normally in her attempts to reach the target and is not forced to take the shortest route.</p><p>This ability replaces the barbarian&#146;s rage power gained at 2nd level. At 8th, 14th, and 20th levels, in place of a rage power she gains another favored enemy and increases her bonus against one favored enemy type.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""True Primitive""]]",Barbarian (True Primitive),True Primitive,<barbarianfastmovement_1,1,Favored Terrain (Ex),"<p>A true primitive has a favored terrain representing her native homeland. This ability functions as the ranger class feature, and the true primitive&#146;s bonuses in that terrain improve by +2 at 5th level and every five levels thereafter. However, she does not gain any additional favored terrains. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Dreadnought""]]",Barbarian (Dreadnought),Dreadnought,<barbarianindomitablewill_14,14,Fearless Killer (Su),"<p>Starting at 14th level, a dreadnought becomes implacable in her pursuit of slaughter. While in rage, she is immune to fear effects.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Flesheater""]]",Barbarian (Flesheater),Flesheater,<barbarianindomitablewill_14,14,Feast (Su),"<p>At 14th level, a flesheater can use her one flesh and unbound rage abilities to emulate any one valid consumed creature of her choice, rather than only the one she consumed most recently. This ability replaces the 14th-level rage power.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Raging Cannibal""]]",Barbarian (Raging Cannibal),Raging Cannibal,<barbarianimproveduncannydodge_5,5,Feed from Fury (Ex),"<p>At 5th level, a raging cannibal is empowered by eating her enemies during combat. When a raging cannibal confirms a critical hit against a creature of the same creature type as herself with her bite attack while raging, she gains a number of temporary hit points equal to her barbarian level. These temporary hit points stack with other temporary hit points gained from this ability but not with those from other sources. These temporary hit points fade after a period of time equal to 10 minutes per barbarian level.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Hateful Rager""]]",Barbarian (Hateful Rager),Hateful Rager,<barbarianimproveduncannydodge_5,5,Feed the Rage (Ex),"<p>At 5th level, a hateful rager gains 1 additional round of rage for each favored enemy she knocks unconscious or kills in combat. These current rounds of rage can only be used to add to the duration of her rage, and disappear when the rage ends. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Untamed Rager""]]",Barbarian (Untamed Rager),Untamed Rager,<barbariantrapsense_3,3,Feral Appearance (+1),"<p>At 3rd level, the untamed rager gains a +1 bonus on Intimidate checks. This bonus increases by 1 every 3 barbarian levels thereafter. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Beastkin Berserker""]]",Barbarian (Beastkin Berserker),Beastkin Berserker,<barbarianragepowers_4,4,Feral Transformation (Su),"<p>At 4th level, when entering a rage, a beastkin berserker can take the form of a Small or Medium animal. This functions as beast shape I, except the duration is for as long as the beastkin berserker rages and the animal must be one she has chosen with her savage rapport.</p><p>At 8th level, the beastkin berserker can use feral transformation to take the form of a Large or Tiny animal that she has chosen with her savage rapport. Feral transformation now acts as beast shape II.</p><p>At 12th level, a beastkin berserker is able to use feral transformation to take the form of a Huge or Diminutive animal that she has chosen with her savage rapport. Feral transformation now functions as beast shape III.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Mad Dog""]]",Barbarian (Mad Dog),Mad Dog,<barbarianimproveduncannydodge_5,5,Ferocious Fetch (Ex),"<p>At 5th level, a mad dog&#146;s war beast gains Improved Drag as a bonus feat. As a swift action, a mad dog can command her war beast to move toward an opponent within 30 feet and attempt a drag combat maneuver to pull the target back toward the mad dog. The war beast can move before and after performing the maneuver, but this movement counts toward the war beast&#146;s total movement during its turn. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Shoanti Burn Rider""]]",Barbarian (Shoanti Burn Rider),Shoanti Burn Rider,<barbarianfastmovement_1,1,Flame Runner (+10 ft.),"<p>At 1st level, once per rage, a burn rider can goad her mount into a burst of incredible speed. The mount&#146;s speed increases by 10 feet until the end of the burn rider&#146;s turn. This bonus to speed increases by 10 feet at 9th level and again at 15th level. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Primal Hunter""]]",Barbarian (Primal Hunter),Primal Hunter,<barbarianrage_1,1,Focused Rage (Ex),"<p>While raging, a primal hunter gains a +2 bonus on attack rolls with ranged weapons. This bonus increases to +3 at 11th level and to +4 at 20th level. While raging, a primal hunter can attempt Stealth checks but doesn&#146;t gain a morale bonus on Will saves. This ability alters rage.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Deepwater Rager""]]",Barbarian (Deepwater Rager),Deepwater Rager,<barbariantirelessrage_17,17,Full Lungs (Ex),"<p>At 17th level, a deepwater rager does not need to breathe while she is raging.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Giant Stalker""]]",Barbarian (Giant Stalker),Giant Stalker,<barbariantrapsense_3,3,Giant Baiter (+1),"<p>At 3rd level, a raging giant stalker can take a move action to erupt into a violent or vulgar display directed at a single giant within 60 feet. This display is infused with secret magical traditions that draw upon the Mammoth Lords&#146; ancestral enmities toward giants. A targeted giant must succeed at a Will save (DC = 10 + half the giant stalker&#146;s barbarian level + the giant stalker&#146;s Constitution modifier) or be compelled to focus its attacks on the giant stalker; this ability can also affect non-giant creatures that are Large or larger, though such creatures gain a +4 bonus on the Will save to resist the effect. This compulsion ends if the giant stalker is out of sight or inaccessible to the giant&#146;s attacks. While baited, a giant is distracted and enraged by the insults&#151;a giant stalker gains a +1 dodge bonus to her AC against any giant she has successfully baited. Once baited, a giant remains baited for a number of rounds equal to the giant stalker&#146;s Constitution modifier, or until the giant stalker&#146;s rage ends (whichever comes first). If the giant stalker baits a different giant, any previously baited giant is no longer baited. A giant that successfully saves against baiting is immune to that giant stalker&#146;s giant baiter ability for 24 hours. This is a language-dependent mind affecting effect.</p><p>At 6th level, a giant stalker can bait two giants at once, and her AC bonus against baited giants increases to +2. At 9th level, baiting giants becomes a swift action, and her AC bonus against baited giants increases to +3. At 12th level, she can bait up to three giants at once, and her AC bonus against baited giants increases to +4. At 15th level, baiting giants becomes a free action, and her AC bonus against baited giants increases to +5. At 18th level, a giant stalker can bait a number of giants equal to 3 + her Constitution modifier, and her AC bonus against baited giants increases to +6.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Shoanti Burn Rider""]]",Barbarian (Shoanti Burn Rider),Shoanti Burn Rider,<barbarianimproveduncannydodge_5,5,Give Me Fire (Ex),"<p>At 5th level, if a Shoanti burn rider takes fire damage while raging, she regains 1 round of rage. The burn rider regains the round of rage only if the fire damage bypasses or exceeds any energy resistance or other protections in effect. The burn rider can only regain 1 round of rage per round. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Urban Barbarian""]]",Barbarian (Urban Barbarian),Urban Barbarian,<barbariangreaterrage_11,11,Greater Controlled rage,"<p>At 11th level, when a barbarian enters a controlled rage, the morale bonus to her Strength, Dexterity, or Constitution increases to +6.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Feral Gnasher""]]",Barbarian (Feral Gnasher),Feral Gnasher,<barbariantrapsense_9,9,Greater Lockjaw (Ex),"<p>At 9th level and again at 15th level, the size of a creature a feral gnasher is able to use her lockjaw&#146;s grab ability on increases by one size increment. This ability replaces trap sense +3 and trap sense +5.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Mooncursed""]]",Barbarian (Mooncursed),Mooncursed,<barbariangreaterrage_11,11,Greater Shifting Rage,"<p>At 11th level, a mooncursed can assume larger alternate and hybrid forms. This functions like beast shape II, and it allows the mooncursed to take on a Medium or Large version of her animal&#146;s form.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Giant Stalker""]]",Barbarian (Giant Stalker),Giant Stalker,,2,Harangue Giant (Ex),"<p>While raging, a giant stalker can speak Giant. If the giant stalker already knows Giant, she gains a +2 bonus on Intimidate checks when speaking Giant while raging.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Numerian Liberator""]]",Barbarian (Numerian Liberator),Numerian Liberator,<barbarianuncannydodge_2,2,Hard Hitter (Ex),"<p>At 2nd level, a Numerian liberator can make devastating attacks against objects and foes with breakable components. Damage dealt by the barbarian&#146;s attacks ignores an amount of an object&#146;s or creature&#146;s hardness (if any) equal to 1/2 her class level. This ability replaces the uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Geminate Invoker""]]",Barbarian (Geminate Invoker),Geminate Invoker,<barbariantrapsense_3,3,Haunt Channeler (+1),"<p>At 3rd level, a geminate invoker gains the power to sense and absorb lingering spiritual energy. This functions identically to the medium class ability of the same name, except the geminate invoker deals 1d6 points of damage to haunts for every 3 barbarian levels he has.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Numerian Liberator""]]",Barbarian (Numerian Liberator),Numerian Liberator,<barbarianindomitablewill_14,14,Hide from Constructs (Su),"<p>At 14th level, a Numerian liberator can control her movement, breathing, body temperature, and other physiological signs to confuse the artificial visions of constructs. At will, the barbarian can make herself undetectable to constructs as if she were affected by a hide from undead spell that instead hides the subject from constructs. Intelligent constructs receive a Will save (DC 10 + 1/2 the barbarian&#146;s level + the barbarian&#146;s Constitution modifier) to see through this effect. The barbarian must expend 1 round of rage for each round she uses this ability. This ability replaces indomitable will.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Brutish Swamper""]]",Barbarian (Brutish Swamper),Brutish Swamper,<barbarianuncannydodge_2,2,Home (+2),"<p>At 2nd level, a brutish swamper gains a +2 bonus on initiative checks and Knowledge (geography), Perception, Stealth, and Survival checks when in swamps. This bonus increases by +1 at 5th level and again every 3 levels after 5th (up to a maximum bonus of +8 at 20th level).</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Jungle Rager""]]",Barbarian (Jungle Rager),Jungle Rager,<barbarianuncannydodge_2,2,Home Ground Advantage (Ex),"<p>At 2nd level, a jungle rager learns how to make optimal use of the natural cover of her homeland. She chooses a specific terrain type from the ranger list of favored terrains. When in this terrain, she increases her bonus to AC and on Reflex saving throws gained from cover, partial cover, and improved cover (but not soft cover) by 1. In this terrain, she also increases the miss chance caused by concealment for attacks against her by 5%. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Jungle Rager""]]",Barbarian (Jungle Rager),Jungle Rager,<barbarianimproveduncannydodge_5,5,Home Ground Supremacy,"<p>At 5th level, a jungle rager becomes even more capable when navigating and fighting in her preferred terrain. She gains the woodland stride ranger ability, though this ability works only in the terrain she selected for the home ground advantage ability. In this terrain, she gains an additional +1 bonus to AC when benefiting from cover or improved cover (but not soft cover). This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Mooncursed""]]",Barbarian (Mooncursed),Mooncursed,<barbarianimproveduncannydodge_5,5,Hybrid Rage,"<p>Beginning at 5th level, a mooncursed can choose to assume a hybrid of her base type and alternate form instead of her usual alternate form during her shifting rage. If she does, the animal&#146;s forelimbs (or pectoral fins for the shark) remain hands able to manipulate objects and wield weapons as well as human hands do, she can walk on two legs (the shark&#146;s tail fins remain legs), and she can talk.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""True Primitive""]]",Barbarian (True Primitive),True Primitive,,1,Illiteracy,"<p>A true primitive cannot read or write, and her superstition about such things leads her to refuse to ever learn to read or write, even if she multiclasses into other classes.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
