id,Class,Tags,Combined,Archetype,Base Feature,Level,Class Ability,Description,,Img
,Paladin,"[[""Paladin""],[""Divine Hunter""]]",Paladin (Divine Hunter),Divine Hunter,<id-00024,8,Aura of Care,"<p>At 8th level, a divine hunter and her allies gain a preternatural awareness of each other's position in battle. She and any allies within 10 feet of her no longer provide cover against each other's ranged attacks unless they wish to. Allies who cannot move or otherwise take actions still provide cover, as do flat-footed allies. The divine hunter and her allies must be able to see or hear each other to use this ability. This ability replaces aura of resolve.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Chaos Knight""]]",Paladin (Chaos Knight),Chaos Knight,<id-00026,14,Aura of Chaos,"<p>At 14th level, a chaos knight treats his weapons as chaos-aligned for the purposes of bypassing damage reduction. In addition, the chaos knight treats attacks targeting enemies within 10 feet of him as chaos-aligned for the purpose of overcoming damage reduction.</p><p>This replaces aura of faith.</p>  <table>  <tr>  <td><b>D4</b></td>  <td><b>Blessing</b></td>  </tr>  <tr>  <td>1</td>  <td>The creature gains a sacred bonus to AC equal to 1/5 the paladin's level (minimum +1).</td>  </tr>  <tr>  <td>2</td>  <td>The creature gains a sacred bonus on weapon damage rolls equal to the chaos knight's Charisma modifier.</td>  </tr>  <tr>  <td>3</td>  <td>The creature gains fast healing 2. This fast healing increases by 1 for every 3 levels the chaos knight has.</td>  </tr>  <tr>  <td>4</td>  <td>The creature gains an enhancement bonus to its movement speeds, adding 5 feet of movement for every 2 levels the chaos knight has (to a maximum of +40 feet).</td>  </tr>  </table>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Wilderness Warden""]]",Paladin (Wilderness Warden),Wilderness Warden,<id-00013,3,Aura of Comfort,"<p>At 3rd level, a wilderness warden is comfortable in nearly any climate, as if she were affected by a constant endure elements spell, and she and allies within 10 feet of her gain a +4 bonus on Constitution checks and saving throws to resist fatigue; exhaustion; and the effects of hunger, thirst, and hot or cold climates (including from magical effects).</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Forgefather's Seeker""]]",Paladin (Forgefather's Seeker),Forgefather's Seeker,<id-00025,11,Aura of Destruction,"<p>At 11th level, a Forgefather seeker grants her allies smite construct with her aura of justice ability instead of smite evil.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Kraken Slayer""]]",Paladin (Kraken Slayer),Kraken Slayer,<id-00026,14,Aura of Elusion,"<p>At 14th level, a kraken slayer gains a sacred bonus equal to her kraken slayer level on Escape Artist checks and combat maneuver checks to escape a grapple and to her CMD to avoid being grappled. Each ally within 10 feet of her gains a sacred bonus equal to half her kraken slayer level on Escape Artist checks and combat maneuver checks to escape a grapple and to CMD to avoid being grappled. This ability functions only while the paladin is conscious, not if she is unconscious or dead.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Iroran Paladin""]]",Paladin (Iroran Paladin),Iroran Paladin,<id-00013,3,Aura of Excellence,"<p>At 3rd level, an Iroran paladin is immune to any effect that would force him to reroll a die against his will or roll twice and take the lower result. Whenever an ally within 10 feet of him would reroll a die against her will, she can roll twice and take the higher result. Whenever an ally within 10 feet would be forced to roll twice and take the lower result, she can instead roll three times and take the second-lowest result. This ability functions only while the Iroran paladin is conscious, and replaces aura of courage.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Hospitaler""]]",Paladin (Hospitaler),Hospitaler,<id-00025,11,Aura of Healing,"<p>At 11th level, a hospitaler can expend one use of her channel positive energy ability to emit a 30-foot aura of healing for a number of rounds equal to her paladin level. Allies in this aura (including the hospitaler) automatically stabilize if below 0 hit points and are immune to bleed damage. In addition, allies (including the paladin) that spend at least 1 full round inside the aura are healed an amount of damage equal to their total number of Hit Dice and may make a saving throw against any afflictions they are suffering from, such as a curse, disease, or poison. This saving throw only counts toward curing the affliction and does not impose any penalty on a failed save. Allies can only be healed once by a use of this ability and they can only attempt additional saving throws once per day, even if they are exposed to this aura multiple times. This ability replaces aura of justice.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Martyr""]]",Paladin (Martyr),Martyr,<id-00006,3,Aura of Health,"<p>At 3rd level, the martyr and all allies within 20 feet of him gain a +4 morale bonus on saving throws against diseases. This ability functions only when the martyr is conscious.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Iroran Paladin""]]",Paladin (Iroran Paladin),Iroran Paladin,<id-00002,1,Aura of Law,<p>The power of an Iroran paladin's aura of law is equal to his class level. This ability replaces aura of good.</p>,,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Undead Scourge""]]",Paladin (Undead Scourge),Undead Scourge,<id-00024,8,Aura of Life,"<p>At 8th level, an undead scourge emits a 10-foot aura of life around her that weakens undead creatures. Undead in this aura take a -4 penalty on Will saves made to resist positive energy. In addition, undead in this aura do not regain hit points from channeled negative energy. This ability replaces aura of resolve.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath against Undeath""]]",Paladin (Oath against Undeath),Oath against Undeath,<id-00024,8,Aura of Life,"<p>At 8th level, the paladin gains a +4 morale bonus on saves against attacks that grant negative levels and saves to overcome negative levels. Each ally within 10 feet of her gains a +2 morale bonus on these saves.</p><p>This ability functions only while the paladin is conscious, not if she is unconscious or dead. This ability replaces aura of resolve.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Iomedaen Enforcer""]]",Paladin (Iomedaen Enforcer),Iomedaen Enforcer,<id-00026,14,Aura of Order,"<p>At 14th level, the paladin's weapons are treated as lawful-aligned for the purposes of overcoming damage reduction. Any attack made against an enemy within 10 feet of the Iomedaean enforcer is treated as if it were lawful-aligned for the purpose of overcoming damage reduction.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Iroran Paladin""]]",Paladin (Iroran Paladin),Iroran Paladin,<id-00025,11,Aura of Perfection,"<p>At 11th level, whenever an Iroran paladin or ally within 10 feet would reroll a die and take the second result even if it is lower (via the good fortune ability of the Luck domain, for example), he can roll an additional die as part of the reroll and use the higher of the two as the result of the reroll. This ability functions only while the Iroran paladin is conscious, and replaces aura of justice.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Forest Preserver""]]",Paladin (Forest Preserver),Forest Preserver,<id-00026,14,Aura of Preservation,"<p>At 14th level, a forest preserver grants animals and plants within 10 feet spell resistance equal to 11 + her paladin level. This spell resistance doesn't apply against harmless effects created by the forest preserver or allies within 10 feet of her. This ability functions only if the forest preserver is conscious.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath against Corruption""]]",Paladin (Oath against Corruption),Oath against Corruption,<id-00013,3,Aura of Purity,"<p>At 3rd level, you gain a +4 sacred bonus on saves against spells and effects from creatures of the aberration type. Allies within 10 feet gain a +1 sacred bonus on these saves. This ability functions only while the paladin is conscious, not if she is unconscious or dead. This ability replaces aura of courage.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Wilderness Warden""]]",Paladin (Wilderness Warden),Wilderness Warden,<id-00024,8,Aura of Purity,"<p>At 8th level, a wilderness warden gains immunity to poison. Each ally within 10 feet gains a +2 bonus on saving throws against disease and poison.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Vindictive Bastard""]]",Paladin (Vindictive Bastard),Vindictive Bastard,<id-00027,17,Aura of Self-Righteousness,"<p>At 17th level, a vindictive bastard gains DR 5/lawful or good and immunity to compulsion spells and spell-like abilities. Each ally within 10 feet of her gains a +4 morale bonus on saving throws against compulsion effects. Aura of self-righteousness functions only while the vindictive bastard is conscious, not if she is unconscious or dead.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Gray Paladin""]]",Paladin (Gray Paladin),Gray Paladin,<id-00025,11,Aura of Subtlety,"<p>At 11th level, a gray paladin learns how to protect herself from detection. She and her allies within 10 feet gain a +4 morale bonus on saving throws against divination effects. Furthermore, casters of divinations that target the gray paladin or her nearby allies must succeed at a caster level check as though the gray paladin and her nearby allies were under the effect of a nondetection spell cast by the gray paladin, with a caster level equal to the gray paladin's paladin level. This ability functions while the gray paladin is conscious and while she is sleeping, but not if she is unconscious for any other reason, or dead.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath of the People's Council""]]",Paladin (Oath of the People's Council),Oath of the People's Council,<id-00025,11,Aura of Truth,"<p>At 11th level, the paladin automatically succeeds at saving throws to disbelieve illusions of the phantasm subschool and automatically gains a saving throw to disbelieve figment illusions when she observes them. Allies within 30 feet gain a +4 bonus on saving throws to disbelieve illusions of the phantasm subschool.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Forgefather's Seeker""]]",Paladin (Forgefather's Seeker),Forgefather's Seeker,<id-00026,14,Aura of Unmaking,"<p>At 14th level, a Forgefather's seeker's weapons are treated as adamantine for the purpose of overcoming damage reduction. Any attack made against an enemy within 10 feet of her is treated as adamantine for the purpose of overcoming damage reduction. This ability functions only while a Forgefather's seeker is conscious, not if she is unconscious or dead.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Banishing Warden""]]",Paladin (Banishing Warden),Banishing Warden,<id-00015,3,Banishing Smite,"<p>At 3rd level, once per day when the banishing warden confirms a critical hit against a target of her smite evil effect, she can attempt to forcibly banish the target to its home plane. The creature struck must succeed at a Will save (DC = 10 + half the banishing warden's level + the banishing warden's Charisma modifier) or be sent back to its home plane as per dismissal. At 10th level, a creature dismissed in this manner takes an amount of damage equal to 2 points per paladin level at the start of its next turn. The banishing warden gains an additional daily use of this ability at 9th and 15th level.</p><p>This ability replaces the mercy gained at 3rd level. A banishing warden still receives the benefits of the mercy class ability starting at 6th level and onward.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Sacred Shield""]]",Paladin (Sacred Shield),Sacred Shield,<id-00004,1,Bastion of Good,"<p>At 1st level, a sacred shield can call upon the powers of good to defend her and her allies against evil. This ability functions as smite evil, except that the paladin gains no benefit on attack or damage rolls against her target. Instead, any attacks the target makes against allies within 10 feet of the paladin deal half damage. Attacks against the paladin deal full damage, but the paladin gains a deflection bonus to her AC equal to her Charisma bonus (if any) against attacks made by the target of the smite. This bonus increases by +1 for every four paladin levels (to a maximum of +6 at 20th level). As with smite evil, if the paladin targets a creature that is not evil, her bastion of good ability is wasted with no effect. Feats, abilities, and the like that increase a paladin's number of uses of smite evil per day increase a sacred shield's uses of bastion of good per day. This ability replaces smite evil.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Holy Tactician""]]",Paladin (Holy Tactician),Holy Tactician,<id-00013,3,Battlefield Presence,"<p>At 3rd level, a tactician can direct her allies in battle, granting each ally within 30 feet one teamwork feat she possesses as a bonus feat as a standard action. All allies must receive the same feat, but do not need to meet the prerequisites of this bonus feat. This ability does not function if the paladin is flat-footed or unconscious. Allies must be able to see and hear the holy tactician in order to gain this benefit. Changing the bonus feat granted is a swift action. This ability replaces aura of courage.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath against Grotesquery""]]",Paladin (Oath against Grotesquery),Oath against Grotesquery,<id-00014,3,Beauty Unyielding,"<p>At 3rd level, a paladin gains spell resistance equal to 11 + her paladin level, but only against non-harmless transmutation effects. This spell resistance can be lowered as a standard action. Additionally, whenever the paladin would take Charisma damage or suffer Charisma drain, she reduces the amount of damage or drain by 1 (minimum 0). This ability replaces divine health.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Invigorator""]]",Paladin (Invigorator),Invigorator,<id-00004,1,Bestow Hope,"<p>Beginning at 1st level, an invigorator is a champion of her faith who can call upon her deity's holy power to bathe battling allies in protective energy. As a swift action during combat, the invigorator can choose a number of nonevil allies within sight equal to her Charisma modifier upon whom to bestow hope. Once activated, bestow hope grants the invigorator and these allies DR 1/- until the combat ends, at which point the damage reduction immediately ends.</p><p>During a battle, the invigorator can change the allies this ability affects as a swift action. Ending it is a free action, but each time it is activated during a single combat, another use of the ability is expended. The invigorator can use this ability a number of times per day equal to 3 + her Charisma modifier. The invigorator must participate in the combat to use this ability. If she is frightened, panicked, paralyzed, stunned, unconscious, or otherwise prevented from participating in the combat, any DR this ability bestows is temporarily suspended until she can participate in the combat again; this doesn't count as ending the ability.</p><p>At 4th level, and at every 3 paladin levels thereafter, the DR this ability grants increases by 1, to a maximum of DR 7/- at 19th level.</p><p>The DR this ability grants does not stack with the DR the invigorator receives from aura of righteousness or holy champion. However, at both 7th level and 20th level, an invigorator can choose to bestow hope upon an additional ally, for a total number of allies equal to 2 + the invigorator's Charisma modifier at 20th level.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Temple Champion""]]",Paladin (Temple Champion),Temple Champion,<id-00025,11,Blessing (Major),"<p>At 5th level, a temple champion gains the minor blessing (as the warpriest class feature) of the domain she selected at 4th level. She uses her paladin level as her warpriest level for determining the effects of that blessing. Any Wisdom-based aspects of that blessing instead use the temple champion's Charisma. At 11th level, she gains the major blessing of her chosen domain. This ability replaces divine bond and aura of justice.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Temple Champion""]]",Paladin (Temple Champion),Temple Champion,<id-00023,5,Blessing (Minor),"<p>At 5th level, a temple champion gains the minor blessing (as the warpriest class feature) of the domain she selected at 4th level. She uses her paladin level as her warpriest level for determining the effects of that blessing. Any Wisdom-based aspects of that blessing instead use the temple champion's Charisma. At 11th level, she gains the major blessing of her chosen domain. This ability replaces divine bond and aura of justice.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Knight of Coins""]]",Paladin (Knight of Coins),Knight of Coins,<id-00015,3,Blessing of Prosperity,"<p>A knight of coins is a patron of wealth and seeks to even the playing field for those who have unfair economic disadvantages. At 3rd level and every 6 levels thereafter, the paladin can select a blessing (see Blessings below). By expending a use of lay on hands, the knight of coins can instead grant a boon to herself or a creature touched as a standard action. These boons do not stack with themselves or with blessings from another knight of coins. A blessing of prosperity lasts up to 1 hour, though the knight of coins who bestowed it can end a blessing's benefits early (whether it affects her or another creature) as a free action. Using this ability requires only one free hand and is a standard action, unless the knight of coins targets herself, in which case it is a swift action.</p><p>If she knows multiple blessings of prosperity, the knight of coins can bestow multiple blessings on a single target as part of the action and the expenditure of a use of lay on hands required to use this ability. If she bestows multiple different blessings, these blessings are cumulative. For example, a 9th-level knight of coins' blessing of prosperity ability might grant a +4 sacred bonus on Appraise and Sense Motive checks as well as a +4 sacred bonus on Perception checks and to CMD against disarm and steal combat maneuvers.</p><p>A knight of coins who takes the Extra Mercy feat can gain an extra blessing of prosperity instead of an extra mercy. Once a blessing of prosperity is chosen, it can't be changed. A character who has benefited from a blessing of prosperity cannot benefit from that same blessing again (whether bestowed by the same knight of coins or another knight of coins) for 24 hours.</p><p><i>Blessings: </i>The following blessings are available to a knight of coins.</p>  <ul>  <li>The target adds an extra 10% to the gp value gained when selling off treasure (normally 50% of the item's original value). This blessing cannot result in selling treasure for more than 100% of its original value.</li><br/>  <li>The target gains a +4 sacred bonus on Appraise and Sense Motive checks.</li><br/>  <li>The target gains a +4 sacred bonus on Perception checks and to CMD against disarm and steal combat maneuvers.</li><br/>  <li>The target gains a +4 sacred bonus on Craft, Perform, and Profession checks.</li><br/>  <li>The target can use locate object as a spell-like ability once, using the knight of coins' class level as the caster level.</li><br/>  <li>The target can treat one settlement as having its base value and purchase limit increased by 30%. The target must choose the affected settlement when the knight of coins bestows this blessing.</li><br/>  </ul>  <p>The target can treat one settlement as being one size category larger for the purposes of determining available magic items. The target must choose the affected settlement when the knight of coins bestows this blessing.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Chaos Knight""]]",Paladin (Chaos Knight),Chaos Knight,<id-00015,3,Blessings of the Maelstrom,"<p>At 3rd level, a chaos knight can harness the unpredictable essence of the Maelstrom to bless a creature. When he uses his entropic touch ability, the chaos knight can grant the touched creature a blessing from the table below that lasts for a number of rounds equal to 1 + the chaos knight's Charisma modifier (minimum 1 round). Only one creature can have this blessing at a time. If another creature gains the blessing, the previous blessing ends. The creature rolls 1d4 and compares the result to the table below to determine the blessing. If the chaos knight targets himself with the blessing, he can roll twice and choose his preferred result.</p><p>At 5th level and every 3 levels thereafter, the chaos knight can grant a blessing to one additional creature at a time.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Scion of Talmandor""]]",Paladin (Scion of Talmandor),Scion of Talmandor,<id-00023,5,Bonded Eagle,"<p>At 5th level, a scion of Talmandor forms a bond with an eagle using the statistics for a bird animal companion. The eagle is a loyal companion that accompanies the scion on her adventures. When the scion activates smite evil, she can expend an additional use of smite evil to grant her eagle the bonuses granted from smite evil as well. This ability functions like the druid animal companion ability, using the scion's paladin level as her effective druid level.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Chosen One""]]",Paladin (Chosen One),Chosen One,<id-00029,1,Bondless,<p>A chosen one does not gain the divine bond class feature.</p>,,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Divine Guardian""]]",Paladin (Divine Guardian),Divine Guardian,<id-00031,7,Bonus Feat,"<p>A divine guardian gains a bonus feat at 7th level, and additional bonus feats at 10th and 13th level. These bonus feats must be chosen from the following list: Diehard, Endurance, Greater Shield Focus, Greater Shield SpecializationAPG, Heroic DefianceAPG, Heroic RecoveryAPG, Missile ShieldAPG, Ray ShieldAPG, Saving ShieldAPG, Shield Focus, Shield SpecializationAPG, or Tower Shield Proficiency. She must meet these feats' prerequisites, but for purposes of meeting the prerequisites of these bonus feats, she treats her paladin level as her fighter level, may use her Charisma score as her Dexterity score, and is considered to have the Spellbreaker feat.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Holy Tactician""]]",Paladin (Holy Tactician),Holy Tactician,<id-00023,7,Bonus Teamwork Feat,"<p>At 3rd level, a holy tactician gains a teamwork feat as a bonus feat. She must meet the prerequisites for this feat. She gains an additional bonus feat for every four levels attained after 3rd, to a maximum of five bonus feats at 19th level. This ability replaces divine health and divine bond.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Virtuoso Bravo""]]",Paladin (Virtuoso Bravo),Virtuoso Bravo,<id-00029,1,Bravo's Finesse,"<p>A virtuous bravo can use her Dexterity modifier instead of her Strength modifier on attack rolls with light or one-handed piercing melee weapons (though if she carries a shield, she applies its armor check penalty to such attack rolls), and she can use her Charisma score in place of her Intelligence score to meet prerequisites of combat feats. This ability counts as having the Weapon Finesse feat for the purpose of meeting feat prerequisites.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Virtuoso Bravo""]]",Paladin (Virtuoso Bravo),Virtuoso Bravo,<id-00028,20,Bravo's Holy Strike,"<p>At 20th level, a virtuous bravo becomes a master at dispensing holy justice with her blade. When the virtuous bravo confirms a critical hit with a light or one-handed piercing melee weapon, she can choose one of the following three effects in addition to dealing damage: the target is rendered unconscious for 1d4 hours, the target is paralyzed for 2d6 rounds, or the target is slain. Regardless of the effect chosen, the target can attempt a Fortitude save. On a success, the target is instead stunned for 1 round (it still takes damage). The DC of this save is equal to 10 + 1/2 the virtuous bravo's paladin level + her Charisma modifier. Once a creature has been the target of a bravo's holy strike, regardless of whether or not it succeeds at the save, that creature is immune to that bravo's holy strike for 24 hours. Creatures that are immune to critical hits are also immune to this ability.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Virtuoso Bravo""]]",Paladin (Virtuoso Bravo),Virtuoso Bravo,<id-00030,1,Bravo's Smite,"<p>When using smite evil, a virtuous bravo doesn't gain a deflection bonus to AC.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath against the Wyrm""]]",Paladin (Oath against the Wyrm),Oath against the Wyrm,<id-00021,4,Breath Evasion,"<p>At 4th level, a paladin with this oath gains evasion, but only against the breath weapons of creatures with the dragon type. This ability replaces channel positive energy.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Sacred Servant""]]",Paladin (Sacred Servant),Sacred Servant,<id-00024,8,Call Celestial Ally,"<p>At 8th level, a sacred servant can call upon her deity for aid, in the form of a powerful servant. This allows the sacred servant to cast lesser planar ally once per week as a spell-like ability without having to pay the material component cost or the servant (for reasonable tasks). At 12th level, this improves to planar ally and at 16th level, this improves to greater planar ally. The sacred servant's caster level for this effect is equal to her paladin level. This ability replaces aura of resolve.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Combat Healer Squire""]]",Paladin (Combat Healer Squire),Combat Healer Squire,<id-00003,1,Careful Healer,"<p>At 1st level, a combat healer squire provokes no attacks of opportunity when she uses the Heal skill to stabilize a creature or treat poison. In addition, when she administers long-term care with the Heal skill, she can restore a total number of additional hit points equal to her character level, divided as she wishes among those she is tending. This ability replaces detect evil.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Oath against Corruption""]]",Paladin (Oath against Corruption),Oath against Corruption,<id-00028,20,Cast into the Void,"<p>At 20th level, a paladin becomes a conduit for the power of her god. Her DR increases to 10/evil. Whenever she uses smite evil and successfully strikes an aberration, the creature must make a Will save (DC 10 + 1/2 the paladin's level + the paladin's Charisma modifier) or be banished to oblivion. This ability does not kill the creature, but it is sent to a remote place, such as deep underground or far into space (if it is a creature native to space), and cannot return under its own power for at least 100 years.</p><p>Whenever the paladin channels positive energy or uses lay on hands to heal a creature, she heals the maximum possible amount. This ability replaces holy champion.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
,Paladin,"[[""Paladin""],[""Empyreal Knight""]]",Paladin (Empyreal Knight),Empyreal Knight,<id-00021,4,Celestial Ally,"<p>At 4th level, an empyreal knight can summon a celestial ally as a full-round action. This functions as summon monster I, except it can only be used to summon celestial creatures, archons, and angels. At 6th level, this improves to summon monster II, increasing by one spell level for every two levels thereafter, to a maximum of summon monster IX at 20th level. This ability can be used a number of times per day equal to the empyreal knight's Charisma modifier (minimum 1), but only one ally can be summoned at a time. This ability replaces lay on hands and channel positive energy.</p>",,systems/pf1/icons/spells/protect-sky-3.jpg
