<<<<<<< HEAD
Class,Tags,Combined,Archetype,id,Level,Class Ability,Description,Img
Spiritualist,"[[""Spiritualist""],[""Fractured Mind""]]",Spiritualist (Fractured Mind),Fractured Mind,<id-00027,1,Emotional Power,"<p>The fractured mind gains a number of spell-like abilities, which are tied to her phantom's emotional focus. She gains one spell-like ability at 5th level, a second at 7th level, a third at 9th level, and a fourth at 16th level. A fractured mind can use each of these abilities once per day, plus one additional time per day for every 4 spiritualist levels she possesses beyond the level at which she gained the spell-like ability. The saving throw DCs for these spell-like abilities are equal to 10 + 1/2 the fractured mind's spiritualist class level + the fractured mind's Charisma modifier, rather than being based on the spell's level. The spell-like abilities granted by each emotional focus are listed below.</p><p><i>Anger: </i>Enlarge person (5th), rage (7th), longstrider (9th), shout (16th).</p><p><i>Dedication: </i>Command (5th), spiritual weapon (7th), bless (9th), death ward (16th).</p><p><i>Despair: </i>BungleUM (5th), stricken heartACG (7th), doom (9th), crushing despair (16th).</p><p><i>Fear: </i>Bane (5th), mad hallucinationUM (7th), doom (9th), phantasmal killer (16th).</p><p><i>Hatred: </i>Doom (5th), inflict moderate wounds (7th), bane (9th), bestow curse (16th).</p><p><i>Jealousy: </i>Sanctuary (5th), resist energy (7th), entropic shield (9th), spell immunity (16th).</p><p><i>Zeal: </i>Bless (5th), spiritual weapon (7th), divine favor (9th), freedom of movement (16th).</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Fractured Mind""]]",Spiritualist (Fractured Mind),Fractured Mind,<id-00026,1,Emotional Spellcasting,"<p>A fractured mind's ability to cast spells is tied to the force of her own spirit rather than her connection to the spirit world. As a result, she uses her Charisma score rather than her Wisdom score to determine the highest spell level she can cast, the saving throw DCs of spells she casts, and her bonus spells per day. This ability alters spellcasting.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Geist Channeler""]]",Spiritualist (Geist Channeler),Geist Channeler,<id-00027,1,Emotionless,"<p>A geist channeler's phantom doesn't have an emotional focus; instead, it is cold and devoid of emotions. The phantom gains a number of ranks in Knowledge (arcana) and Knowledge (religion) equal to its Hit Dice. While confined in the geist channeler's consciousness, the phantom grants the geist channeler Skill Focus in each of these skills. The phantom has good Reflex and Will saves, and gains Iron Will as a bonus feat, as well as the following abilities.</p><p><i>Unnerving Touch (Su): </i>As a standard action, a geist channeler's phantom can make a melee touch attack against a living creature, even if that creature is corporeal. If the attack hits, the target is shaken for 1d4+1 rounds. A successful Will save (DC = 10 + 1/2 the phantom's Hit Dice + the phantom's Charisma modifier) negates this effect. At 5th level, when the phantom can damage corporeal creatures with its slam attack, its slam attacks against living corporeal creatures gain this ability. Multiple attacks against the same creature don't cause the creature to become frightened. This is a mind-affecting fear effect.</p><p><i>Poltergeist's Knack (Sp): </i>At 7th level, a geist channeler's phantom can use telekinesis as a spell-like ability. It can use only the sustained force and violent thrust versions of this spell. The phantom can use this ability three times per day, plus one additional time at 10th level and every 3 levels thereafter (maximum seven times per day at 19th level). Its caster level for this spell-like ability is equal to the phantom's Hit Dice.</p><p><i>Spectral Protection (Su): </i>At 12th level as a standard action, while a geist channeler's phantom is confined within his psyche, he can call upon its power to project an aura of spectral energy that prevents incorporeal creatures from approaching him. This takes the form of a 30-foot-radius emanation centered on the geist channeler. Any incorporeal creature attempting to enter this area must succeed at a Will save (DC = 10 + 1/2 the geist channeler's spiritualist class level + the geist channeler's Wisdom modifier) or be unable to do so. This ability can be used only defensively, not aggressively; forcing the aura against an incorporeal creature collapses the aura. The geist channeler can use this ability for a number of minutes per day equal to his spiritualist level. The minutes don't need to be continuous, but must be spent in 1-minute increments.</p><p><i>Malevolent Possession (Sp): </i>At 17th level, a geist channeler's phantom can invade the bodies of other creatures. This functions as possession (see page 181). To use this ability, the phantom must be adjacent to the target. The target can resist the effect with a successful Will save (DC = 10 + 1/2 the phantom's Hit Dice + the phantom's Charisma modifier). The phantom can use this ability once per day.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Shadow Caller""]]",Spiritualist (Shadow Caller),Shadow Caller,<id-00028,1,Emotionless,"<p>A shadow caller's shade lacks an emotional focus; it is cold and devoid of all emotions. The shade gains a number of ranks in Intimidate and Stealth equal to its Hit Dice. The shadow caller gains Skill Focus in each of these skills while the shade inhabits her shadow. The shade has good Reflex and Will saves, gains Lightning Reflexes as a bonus feat, and gains the following abilities.</p><p>Weakening Touch (Su): A shade's slam attack causes its victim to take a -2 penalty to Strength for 1 round. As a standard action, a shade in incorporeal form can deliver the penalty as a touch attack. This penalty does not stack with itself. This is a negative energy effect.</p><p>Umbral Shroud (Su) When the shadow caller reaches 7th level, her shade can emit a 10-foot aura of swirling shadows that grants all allies 20% concealment against creatures without darkvision or the see in darkness ability, and a +4 bonus on Stealth checks.</p><p>Shadow Caster (Sp): When the shadow caller reaches 12th level, her shade gains the ability to cast either shadow conjuration or shadow evocation once per day. It uses its Hit Dice as its caster level, and the DC for these spells equals 10 + 1/2 the shade's Hit Dice + its Charisma modifier. Instead of the normal spell level and percentage of reality for the two spells, the maximum spell level of the duplicated spell is 4th level, and the effects are 40% real. When the shadow caller reaches 18th level, the maximum spell level improves to 6th level and effects are 60% real.</p><p>Midnight Shroud (Su): When the shadow caller reaches 17th level, her shade's umbral shroud also lowers the light level in its range to darkness, regardless of the prevailing conditions; this counts as a 7th-level darkness spell for the purpose of adjudicating light and darkness effects.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Scourge""]]",Spiritualist (Scourge),Scourge,<id-00026,6,Endure Torment,"<p>At 6th level, a scourge's phantom gains immunity to pain effects and gains a +4 bonus on saving throws against effects that could cause it to become staggered or stunned.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Usher of Lost Souls""]]",Spiritualist (Usher of Lost Souls),Usher of Lost Souls,<id-00026,1,Etheric Channel,"<p>An usher of lost souls can focus ethereal energies to channel waves of disruption. The spiritualist can channel positive energy a number of times per day equal to 3 + her Charisma modifier (minimum 1). She channels energy like a cleric of her spiritualist level, except the channeled energy can be used only to harm undead or haunts. This otherwise functions as channel energy for the purposes of feats and abilities. The spiritualist does not require a holy symbol to use this ability.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Phantom Blade""]]",Spiritualist (Phantom Blade),Phantom Blade,<id-00009,4,Etheric Focus,"<p>At 4th level, the phantom blade can use her phantom weapon to aid her in casting spells with thought components. She can center herself (Pathfinder RPG Occult Adventures 144) as a swift action. At 12th level, the spiritualist can center herself as a free action.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Exciter""]]",Spiritualist (Exciter),Exciter,<id-00007,2,Excitation,"<p>At 2nd level, when an exciter is in a rapture, each round he can choose to intensify his emotional fury, expending 2 rounds of rapture instead of 1. When he uses excitation, he chooses one of the two abilities that his emotional focus would normally grant to a manifested phantom, such as strength focus and powerful strike for an anger phantom, or power from despair and miserable strike for a despair phantom. He gains these abilities until the beginning of his next turn. If the ability normally augments only a phantom's slam attacks, it instead applies to the ectoplasmic tendrils that the spiritualist can sprout using his ectoplasmic bonded manifestation.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Quintessentialist""]]",Spiritualist (Quintessentialist),Quintessentialist,<id-00027,1,Exemplar,"<p>Instead of bonding to the phantom of a dead soul, a quintessentialist forges her best qualities into a spiritual aspect called an exemplar, which resides in her subconscious mind at all times rather than on the Ethereal Plane. An exemplar uses the quintessentialist's ability scores when fully manifested rather than those of a standard phantom, but otherwise advances as a phantom. The exemplar can cast any of the spiritualist's spells while fully manifested, sharing the same spells known and spell slots, and does not suffer from the quintessentialist's unfocused spellcasting ability.</p><p>A quintessentialist can fully manifest her exemplar as a full-round action rather than a 1-minute ritual, and she can dismiss it back into her mind as a standard action. When fully manifested, a quintessentialist can transfer any equipment she is currently wearing or carrying to her exemplar, allowing it to manifest with weapons, armor, and other equipment, but doing so removes these possessions from the quintessentialist. She can likewise grant her exemplar any feats she knows, losing access to those feats herself while the exemplar remains fully manifested. Projecting an exemplar is draining, however. A quintessentialist cannot cast any spells herself and she takes a -2 penalty to all ability scores while her exemplar is fully manifested. Every round the exemplar remains fully manifested, the quintessentialist takes 1d6 points of damage; this damage cannot be reduced or prevented in any way.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Exciter""]]",Spiritualist (Exciter),Exciter,<id-00006,1,Fast Movement,"<p>An exciter's land speed is faster than normal for his race by 10 feet. This benefit applies only when he is wearing light armor, medium armor, or no armor and is not carrying a heavy load. This doesn't stack with the barbarian ability of the same name.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Plague Eater""]]",Spiritualist (Plague Eater),Plague Eater,<id-00020,10,Fused Well-Being,"<p>At 10th level, a plague eater always gains the benefits of bonded senses when her phantom is manifested. She also gains the skill ranks and bonus to resist disease granted by the spirit's emotional focus, even when her phantom is manifested.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Geist Channeler""]]",Spiritualist (Geist Channeler),Geist Channeler,<id-00028,1,Geistform Phantom,"<p>A geist channeler's phantom can't manifest in ectoplasmic form, and is limited to manifesting in incorporeal form. As a result, the phantom has no Strength score, and has a starting Wisdom score of 12. Instead of gaining two slam attacks, it gains only a single slam attack that deals 1d8 points of damage. The slam attack's damage increases to 1d10 points at 5th level, to 2d6 at 10th level, to 2d8 at 15th level, and 2d10 at 20th level (assuming the phantom is Medium). The phantom does not gain the magic attacks ability at 4th level.</p><p>While manifested incorporeally, a geist channeler's phantom can attack only other incorporeal creatures. Because the phantom is incorporeal, the damage it deals to such creatures is not reduced as a result of them being incorporeal. At 5th level, the phantom can take a swift action to infuse itself with trace amounts of ectoplasm so it can attack corporeal creatures for 1 round. During that time, it deals half damage to corporeal creatures with its slam, and corporeal creatures with nonmagical weapons deal half damage to the phantom. At 10th level, when the phantom infuses itself, its attacks deal normal damage to corporeal creatures.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Exciter""]]",Spiritualist (Exciter),Exciter,<id-00021,12,Greater Rapture,"<p>At 12th level, an exciter increases the morale bonus his rapture grants to each applicable ability score by 2 and the morale bonus he gains on Will saves by 1. In addition, upon entering a rapture, he can apply the effects of a single spiritualist spell he knows with an emotion component to himself. The spell must have a range of touch or personal, and it must be a 1st- or 2nd-level spell. For every 3 spiritualist levels he has beyond 12th, the maximum spell level of this spell increases by 1. If he uses this ability to apply the effects of a spell again before the duration of the previous spell expires, the previous spell ends immediately.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Plague Eater""]]",Spiritualist (Plague Eater),Plague Eater,<id-00028,12,Greater Spiritual Inoculation,"<p>At 12th level, the plague eater becomes immune to disease, including supernatural and magical diseases. In addition, whenever a manifested phantom is in ectoplasmic form, each of the plague eater's allies within the phantom's reach gains a +4 circumstance bonus on saving throws against disease.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Grim Apostle""]]",Spiritualist (Grim Apostle),Grim Apostle,<id-00026,1,Grim Phantom,"<p>The spirit linked to a grim apostle functions in all respects as a regular spiritualist's phantom, but each day when the grim apostle regains her daily spell slots, she can choose which Horseman focus (see below) is dominant within the grim phantom.</p><p>When the grim phantom is banished to the Ethereal Plane, the grim apostle takes an amount of damage equal to 1d4 x the grim phantom's number of Hit Dice.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Hag-Haunted""]]",Spiritualist (Hag-Haunted),Hag-Haunted,<id-00026,1,Hag Phantom,"<p>A hag phantom forms from the soul of a deceased hag. She always has an evil alignment, rather than matching the spiritualist's alignment, and must select one of the following emotional focuses: anger, hatred, jealousy, or zeal. The hag phantom starts with a +2 bonus to Strength and Intelligence and has her own agenda-usually contrary to the spiritualist's-though she recognizes that the spiritualist can unmanifest her, and therefore she typically hides suspicious actions from her spiritualist. When in the spiritualist's consciousness, the hag phantom can grant the hag-haunted Spell Focus (necromancy) and Skill Focus (Bluff), but she often revokes them if the spiritualist banishes her there as a punishment, and she might use them as leverage to get what she wants. When the spiritualist reaches 10th level, the hag can also grant these feats while manifested, and when the spiritualist reaches 12th level, she can also grant Greater Spell Focus (necromancy).</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Hag-Haunted""]]",Spiritualist (Hag-Haunted),Hag-Haunted,<id-00021,1,Hag Spellcasting,"<p>A hag-haunted spiritualist's spells come from her connection to her hag phantom. Her spells are considered arcane rather than psychic, and they use verbal and somatic components instead of thought and emotion components. She still selects her spells known from the spiritualist class list.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Grim Apostle""]]",Spiritualist (Grim Apostle),Grim Apostle,<id-00005,1,Hardened Soul,"<p>At 1st level, while a grim phantom is confined in the grim apostle's consciousness, the grim apostle gains a +4 bonus on saving throws against death effects and effects that would remove or subsume the grim apostle's soul (such as possession or trap the soul). At 6th level and every 6 levels thereafter, this bonus increases by 2 (to a maximum of +10 at 18th level). This ability replaces shared consciousness and fused consciousness.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Scourge""]]",Spiritualist (Scourge),Scourge,<id-00015,7,Inflict Pain,"<p>At 7th level, a scourge can use inflict painOA as a spell-like ability once per day, plus one additional use per day for every 4 spiritualist levels beyond 7th. If her phantom is fully manifested, it can also use this ability, though doing so takes the phantom a full-round action, and it still counts against the scourge's daily uses of this ability.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Shadow Caller""]]",Spiritualist (Shadow Caller),Shadow Caller,<id-00005,1,Inhabit Shadow,"<p>A shade resides within a shadow caller's own shadow. When the shade is summoned, the shadow caller does not cast a shadow under any circumstances. Creatures that don't normally cast shadows (such as vampires) cannot be shadow callers. While the shade inhabits its master's shadow, the shadow caller gains a +4 circumstance bonus on Stealth checks against creatures without darkvision or the see in darkness ability; at 12th level, this bonus increases to +8. Additionally, the shadow caller gains darkvision 60 feet while her shade inhabits her shadow. If the shadow caller already has darkvision, its range increases by 30 feet.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Involutionist""]]",Spiritualist (Involutionist),Involutionist,<id-00018,11,Involuate,"<p>At 11th level, an involutionist gains the ability to awaken the latent spiritual energy in inanimate objects. She gains the ability to cast animate objects as a spell-like ability once per day (CL = her character level). At 15th and 19th levels, she can use this ability one additional time per day.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Fated Guide""]]",Spiritualist (Fated Guide),Fated Guide,<id-00019,9,Iron Bond,"<p>When the fated guide reaches 9th level, her phantom gains a +4 bonus on saving throws against banishment, dismissal, or other similar effects. This ability replaces the see invisibility ability.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Ward Spiritualist""]]",Spiritualist (Ward Spiritualist),Ward Spiritualist,<id-00011,1,Kami Phantom,"<p>The ward spiritualist's phantom is less powerful than most, but it has an innate connection to its ward. The ward spiritualist's phantom is a kami phantom, functioning as normal for a phantom, except that its base attack bonus is equal to three-quarters its Hit Dice (as a rogue) and its Hit Dice are d8s instead of d10s. Additionally, a kami phantom cannot manifest as incorporeal, only ectoplasmic.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Seeker of Enlightenment""]]",Spiritualist (Seeker of Enlightenment),Seeker of Enlightenment,<id-00015,7,Karmic Insight,"<p>At 7th level, a seeker of enlightenment gains the ability to understand which actions will push her toward ultimate understanding. She can cast augury as a spell-like ability once per day. At 11th level and every 4 levels thereafter, she can use this ability an additional time per day (to a maximum of four times per day at 19th level).</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Seeker of Enlightenment""]]",Spiritualist (Seeker of Enlightenment),Seeker of Enlightenment,<id-00023,16,Knowledge of the Ancestors,"<p>At 16th level, a seeker of enlightenment learns how to tap into the knowledge of her past lives. She can cast legend lore as a spell-like ability once per day.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Shadow Caller""]]",Spiritualist (Shadow Caller),Shadow Caller,<id-00025,20,Living Darkness,"<p>At 20th level, a shadow caller becomes a creature of absolute darkness. When using her incorporeal bonded manifestation, she is immune to cold and mind-affecting effects and gains an incorporeal touch attack that she can use as a standard action to deal 20d6 points of negative energy damage. When the shadow caller damages a creature with this ability, she gains 5d6 temporary hit points (Fortitude half; DC = 20 + her Wisdom modifier), so long as she doesn't already have any temporary hit points gained via this ability). Temporary hit points gained this way disappear after 1 hour.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Usher of Lost Souls""]]",Spiritualist (Usher of Lost Souls),Usher of Lost Souls,<id-00019,9,Locate Haunts,"<p>At 9th level, an usher of lost souls can locate inactive haunts. As a standard action, she can enhance her vision to detect haunts within 60 feet of her. A haunt's area glows with a bright light for an untriggered haunt or dim light for a haunt that is waiting to reset. She can use this ability for 10 minutes per day per spiritualist level. This duration doesn't need to be consecutive, but it must be spent in 10-minute increments.</p>",systems/pf1/icons/skills/water_07.jpg
Spiritualist,"[[""Spiritualist""],[""Priest of the Fallen""]]",Spiritualist (Priest of the Fallen),Priest of the Fallen,<id-00024,17,Masterful Faith,"<p>At 17th level, a priest of the fallen chooses any two cleric domains and receives their full benefits, treating her spiritualist level as her cleric level. She adds the domain spells to her spells known.</p>",systems/pf1/icons/skills/water_07.jpg
